iter	Passed	Remaining
922	122636	143097
923	122769	142965
924	122884	142811
925	123013	142674
926	123137	142531
927	123239	142363
928	123344	142198
929	123460	142046
930	123598	141919
931	123716	141769
932	123831	141616
933	123960	141479
934	124086	141339
935	124206	141191
936	124380	141106
937	124527	140988
938	124633	140826
939	124758	140685
940	124888	140548
941	125027	140424
942	125154	140284
943	125279	140142
944	125401	139998
945	125522	139853
946	125656	139721
947	125783	139582
948	125899	139430
949	126033	139300
950	126149	139149
951	126276	139009
952	126393	138860
953	126521	138722
954	126646	138581
955	126797	138469
956	126929	138336
957	127053	138194
958	127168	138042
959	127287	137894
960	127411	137753
961	127539	137615
962	127664	137474
963	127791	137336
964	127933	137214
965	128057	137071
966	128183	136932
967	128298	136781
968	128422	136639
969	128546	136497
970	128686	136372
971	128828	136250
972	129000	136159
973	129173	136069
974	129295	135925
975	129439	135805
976	129569	135670
977	129687	135521
978	129820	135389
979	129958	135262
980	130072	135111
981	130200	134973
982	130332	134840
983	130455	134698
984	130574	134551
985	130702	134414
986	130837	134284
987	130945	134126
988	131050	133965
989	131168	133818
990	131271	133655
991	131370	133488
992	131509	133363
993	131608	133197
994	131711	133034
995	131828	132886
996	131962	132756
997	132096	132626
998	132229	132494
999	132369	132369
1000	132508	132243
1001	132675	132146
1002	132835	132041
1003	132976	131917
1004	133070	131746
1005	133213	131624
1006	133343	131489
1007	133470	131351
1008	133592	131208
1009	133718	131070
1010	133871	130957
1011	134031	130852
1012	134155	130711
1013	134278	130570
1014	134405	130432
1015	134520	130283
1016	134630	130129
1017	134777	130011
1018	134896	129866
1019	135014	129719
1020	135142	129583
1021	135275	129451
1022	135395	129307
1023	135521	129168
1024	135631	129015
1025	135740	128861
1026	135865	128721
1027	136004	128595
1028	136135	128462
1029	136259	128322
1030	136365	128165
1031	136494	128029
1032	136625	127896
1033	136773	127778
1034	136908	127649
1035	137038	127514
1036	137173	127385
1037	137297	127245
1038	137417	127101
1039	137550	126969
1040	137675	126831
1041	137803	126695
1042	137928	126555
1043	138052	126416
1044	138178	126277
1045	138303	126139
1046	138415	125988
1047	138540	125850
1048	138659	125705
1049	138780	125563
1050	138915	125433
1051	139039	125293
1052	139159	125150
1053	139268	124998
1054	139401	124866
1055	139536	124737
1056	139650	124588
1057	139782	124457
1058	139916	124326
1059	140045	124191
1060	140169	124052
1061	140294	123913
1062	140431	123785
1063	140614	123698
1064	140783	123598
1065	140921	123471
1066	141073	123356
1067	141234	123249
1068	141387	123135
1069	141527	123009
1070	141651	122870
1071	141781	122736
1072	141924	122613
1073	142046	122472
1074	142228	122383
1075	142431	122310
1076	142617	122224
1077	142770	122109
1078	142904	121978
1079	143041	121850
1080	143182	121724
1081	143308	121586
1082	143433	121448
1083	143550	121302
1084	143669	121159
1085	143801	121026
1086	143918	120881
1087	144050	120748
1088	144185	120618
1089	144303	120473
1090	144460	120361
1091	144575	120214
1092	144721	120093
1093	144855	119962
1094	144977	119821
1095	145086	119669
1096	145215	119534
1097	145358	119410
1098	145476	119267
1099	145609	119135
1100	145723	118987
1101	145849	118849
1102	146009	118740
1103	146176	118635
1104	146320	118513
1105	146446	118375
1106	146565	118232
1107	146693	118096
1108	146820	117959
1109	146939	117816
1110	147074	117686
1111	147218	117562
1112	147350	117430
1113	147509	117318
1114	147681	117218
1115	147848	117113
1116	147991	116988
1117	148141	116870
1118	148315	116770
1119	148456	116644
1120	148586	116509
1121	148749	116401
1122	148883	116269
1123	149022	116142
1124	149151	116006
1125	149305	115891
1126	149419	115743
1127	149551	115610
1128	149675	115471
1129	149773	115312
1130	149900	115175
1131	150049	115055
1132	150175	114918
1133	150299	114778
1134	150427	114642
1135	150552	114504
1136	150687	114373
1137	150802	114228
1138	150935	114096
1139	151062	113959
1140	151183	113818
1141	151325	113693
1142	151458	113560
1143	151586	113424
1144	151747	113313
1145	151891	113189
1146	152007	113044
1147	152139	112912
1148	152260	112770
1149	152390	112636
1150	152495	112483
1151	152623	112348
1152	152758	112217
1153	152891	112085
1154	153012	111944
1155	153132	111802
1156	153270	111674
1157	153390	111532
1158	153503	111385
1159	153618	111241
1160	153758	111114
1161	153875	110970
1162	154007	110837
1163	154142	110707
1164	154298	110591
1165	154432	110460
1166	154565	110328
1167	154792	110263
1168	155211	110334
1169	155383	110229
1170	155510	110092
1171	155672	109980
1172	155819	109857
1173	155957	109728
1174	156097	109600
1175	156253	109483
1176	156391	109354
1177	156547	109237
1178	156707	109123
1179	156851	108998
1180	156989	108869
1181	157144	108751
1182	157295	108630
1183	157440	108506
1184	157562	108365
1185	157706	108240
1186	157851	108115
1187	157994	107989
1188	158151	107873
1189	158332	107772
1190	158538	107689
1191	158695	107572
1192	158859	107459
1193	159062	107374
1194	159298	107309
1195	159525	107239
1196	159871	107249
1197	160328	107331
1198	160734	107380
1199	161123	107415
1200	161512	107450
1201	161987	107542
1202	162413	107600
1203	162870	107678
1204	163352	107772
1205	163721	107790
1206	164116	107824
1207	164590	107910
1208	165006	107957
1209	165652	108153
1210	166076	108203
1211	166546	108282
1212	167052	108384
1213	167400	108383
1214	167900	108479
1215	168349	108541
1216	169300	108925
1217	169696	108951
1218	170165	109023
1219	170622	109086
1220	171020	109111
1221	171519	109199
1222	172007	109280
1223	172432	109319
1224	172881	109373
1225	173280	109395
1226	173656	109402
1227	174066	109429
1228	174477	109456
1229	174924	109505
1230	175395	109569
1231	175920	109664
1232	176370	109712
1233	176802	109749
1234	177230	109782
1235	177637	109801
1236	178049	109823
1237	178446	109835
1238	178924	109896
1239	179374	109939
1240	179767	109946
1241	180196	109974
1242	180640	110012
1243	181134	110078
1244	181568	110108
1245	182204	110258
1246	182605	110266
1247	183064	110307
1248	183615	110404
1249	184181	110508
1250	184591	110518
1251	185697	110943
1252	186285	111057
1253	186763	111104
1254	187151	111097
1255	187544	111093
1256	187932	111085
1257	188391	111118
1258	188946	111207
1259	189464	111272
1260	189822	111244
1261	190048	111137
1262	190202	110989
1263	190442	110890
1264	190612	110751
1265	190747	110591
1266	190898	110440
1267	191076	110305
1268	191231	110157
1269	191388	110010
1270	191561	109872
1271	191710	109720
1272	191847	109562
1273	192001	109413
1274	192124	109247
1275	192280	109099
1276	192450	108959
1277	192664	108845
1278	192864	108722
1279	193041	108586
1280	193249	108467
1281	193410	108321
1282	193578	108180
1283	193738	108034
1284	193909	107895
1285	194045	107735
1286	194166	107568
1287	194304	107410
1288	194449	107256
1289	194601	107106
1290	194766	106963
1291	194931	106819
1292	195066	106660
1293	195227	106515
1294	195365	106357
1295	195526	106211
1296	195662	106052
1297	195823	105907
1298	195973	105756
1299	196119	105603
1300	196255	105443
1301	196410	105295
1302	196579	105154
1303	196710	104992
1304	196870	104846
1305	197079	104726
1306	197544	104742
1307	197749	104619
1308	198019	104531
1309	198249	104421
1310	198585	104367
1311	198866	104283
1312	199273	104265
1313	199429	104115
1314	199564	103955
1315	199713	103802
1316	199851	103643
1317	200020	103500
1318	200208	103367
1319	200454	103264
1320	200633	103126
1321	200782	102973
1322	200925	102816
1323	201046	102649
1324	201228	102512
1325	201406	102373
1326	201538	102212
1327	201686	102058
1328	201829	101901
1329	201972	101745
1330	202095	101579
1331	202219	101413
1332	202364	101258
1333	202525	101111
1334	202702	100971
1335	202868	100826
1336	203031	100680
1337	203198	100536
1338	203357	100387
1339	203504	100233
1340	203641	100074
1341	203809	99930
1342	203947	99771
1343	204138	99638
1344	204314	99498
1345	204459	99343
1346	204609	99190
1347	204765	99040
1348	204919	98889
1349	205089	98746
1350	205269	98608
1351	205419	98455
1352	205570	98303
1353	205731	98155
1354	205892	98007
1355	206062	97864
1356	206207	97709
1357	206358	97557
1358	206490	97395
1359	206624	97235
1360	206778	97083
1361	206931	96932
1362	207077	96777
1363	207253	96637
1364	207416	96490
1365	207590	96348
1366	207764	96206
1367	207954	96072
1368	208126	95929
1369	208303	95789
1370	208468	95642
1371	208625	95493
1372	208805	95353
1373	208963	95204
1374	209133	95060
1375	209301	94916
1376	209464	94768
1377	209632	94623
1378	209780	94469
1379	209937	94319
1380	210088	94167
1381	210229	94010
1382	210412	93871
1383	210577	93725
1384	210727	93572
1385	210887	93423
1386	211061	93281
1387	211209	93127
1388	211385	92985
1389	211524	92827
1390	211679	92676
1391	211832	92524
1392	211981	92370
1393	212107	92207
1394	212260	92055
1395	212427	91909
1396	212573	91754
1397	212713	91597
1398	212833	91431
1399	212965	91270
1400	213089	91106
1401	213211	90941
1402	213334	90777
1403	213482	90623
1404	213620	90465
1405	213727	90294
1406	213844	90127
1407	213963	89961
1408	214096	89801
1409	214235	89644
1410	214362	89482
1411	214512	89329
1412	214622	89160
1413	214730	88989
1414	214832	88817
1415	214941	88648
1416	215076	88489
1417	215215	88332
1418	215342	88170
1419	215471	88009
1420	215595	87846
1421	215783	87709
1422	216014	87590
1423	216141	87428
1424	216282	87271
1425	216425	87116
1426	216558	86957
1427	216689	86797
1428	216812	86634
1429	216927	86467
1430	217059	86308
1431	217169	86139
1432	217299	85979
1433	217417	85814
1434	217549	85655
1435	217651	85484
1436	217804	85333
1437	217958	85182
1438	218075	85017
1439	218201	84856
1440	218318	84691
1441	218441	84528
1442	218561	84365
1443	218687	84203
1444	218802	84038
1445	218928	83877
1446	219055	83716
1447	219171	83551
1448	219306	83393
1449	219440	83236
1450	219577	83079
1451	219698	82916
1452	219839	82761
1453	219983	82607
1454	220146	82460
1455	220298	82309
1456	220442	82155
1457	220571	81995
1458	220698	81835
1459	220860	81688
1460	221019	81539
1461	221153	81382
1462	221298	81228
1463	221434	81071
1464	221553	80908
